hex_id;Geocodigo_Setor;Distrito;Intersect_Area
100x237;355030862000042;PINHEIROS;44559936832728.69
100x238;355030862000042;PINHEIROS;254676207162249.7
100x239;355030862000042;PINHEIROS;77778802469515.1
101x238;355030862000042;PINHEIROS;24133013994917.023
101x239;355030862000042;PINHEIROS;28485286337011.246
97x237;355030862000043;PINHEIROS;7389531556181.171
97x238;355030862000043;PINHEIROS;89097065406952.83
98x237;355030862000043;PINHEIROS;210879184329470.03
98x238;355030862000043;PINHEIROS;13585499222680.836
99x238;355030862000043;PINHEIROS;258741985694.42767
98x239;355030862000045;PINHEIROS;35852482739059.1
98x240;355030862000045;PINHEIROS;64420467393244.48
98x241;355030862000045;PINHEIROS;4425999494869.724
96x241;355030862000046;PINHEIROS;32936433538710.754
97x241;355030862000046;PINHEIROS;32829282597618.04
97x242;355030862000046;PINHEIROS;31389163517094.66
97x243;355030862000046;PINHEIROS;22207543381111.223
98x240;355030862000046;PINHEIROS;38100069732323.15
98x241;355030862000046;PINHEIROS;132724483527186.44
98x242;355030862000046;PINHEIROS;13286223931435.914
98x243;355030862000047;PINHEIROS;99211035548218
98x244;355030862000048;PINHEIROS;2321158173444.1436
99x244;355030862000048;PINHEIROS;94306164976579.47
99x245;355030862000048;PINHEIROS;19267190721619.21
99x246;355030862000048;PINHEIROS;5104037782639.746
100x243;355030862000048;PINHEIROS;20273348521505.58
100x244;355030862000048;PINHEIROS;26976483879780.42
99x245;355030862000049;PINHEIROS;6959870399714.066
100x244;355030862000049;PINHEIROS;230526120944786.3
100x245;355030862000049;PINHEIROS;72118830933686.2
101x244;355030862000049;PINHEIROS;4718936095981.539
101x245;355030862000049;PINHEIROS;66657396561059.914
100x244;355030862000050;PINHEIROS;46014036248.957664
101x244;355030862000050;PINHEIROS;135585523504968.86
101x245;355030862000050;PINHEIROS;13406269708997.219
102x243;355030862000050;PINHEIROS;11252491835974.723
101x245;355030862000051;PINHEIROS;37994993650312.04
102x243;355030862000051;PINHEIROS;20671426267955.75
102x244;355030862000051;PINHEIROS;63712894000466.2
102x244;355030862000052;PINHEIROS;113506045368485.47
103x244;355030862000052;PINHEIROS;19084761876752.434
103x245;355030862000052;PINHEIROS;57339362436205.914
102x243;355030862000053;PINHEIROS;96703450305.80734
103x243;355030862000053;PINHEIROS;13160552326077.92
103x244;355030862000053;PINHEIROS;91941954345153.3
103x245;355030862000053;PINHEIROS;42459264008892.27
103x246;355030862000053;PINHEIROS;123342223177918.36
103x247;355030862000053;PINHEIROS;1424159654334.7666
104x244;355030862000053;PINHEIROS;25709240836108.2
104x245;355030862000053;PINHEIROS;53450828963574.68
103x243;355030862000054;PINHEIROS;4725403845453.003
103x244;355030862000054;PINHEIROS;41102523439557.055
103x245;355030862000054;PINHEIROS;36633449072049.67
104x243;355030862000054;PINHEIROS;33143550181949.4
104x244;355030862000054;PINHEIROS;49333793153853.914
104x243;355030862000055;PINHEIROS;77672305979055
104x244;355030862000055;PINHEIROS;12548802548902.873
105x243;355030862000055;PINHEIROS;71426207422944.42
105x244;355030862000055;PINHEIROS;203457921791901.06
106x243;355030862000055;PINHEIROS;470429871827.34796
105x241;355030862000056;PINHEIROS;7272133680178.067
105x242;355030862000056;PINHEIROS;68687286203144.87
106x241;355030862000056;PINHEIROS;22909705241341.84
106x240;355030862000057;PINHEIROS;10878633829117.457
106x241;355030862000057;PINHEIROS;3348009971278.0405
105x241;355030862000058;PINHEIROS;10609653052912.482
106x240;355030862000058;PINHEIROS;15394395116024.56
106x239;355030862000059;PINHEIROS;18225610487703.902
106x240;355030862000059;PINHEIROS;34610446092378.992
107x239;355030862000059;PINHEIROS;31173223536374.91
107x240;355030862000059;PINHEIROS;19814971261242.387
106x239;355030862000060;PINHEIROS;14320696390734.908
106x240;355030862000060;PINHEIROS;4752500469.15692
107x239;355030862000060;PINHEIROS;97441110872138.3
107x240;355030862000060;PINHEIROS;318353015982.34576
106x238;355030862000061;PINHEIROS;217581907429.07556
106x239;355030862000061;PINHEIROS;99048120298003.16
106x240;355030862000061;PINHEIROS;3306015914.176065
107x239;355030862000061;PINHEIROS;21602860932294.074
105x240;355030862000062;PINHEIROS;86476181340.99396
106x238;355030862000062;PINHEIROS;383837543784.43774
106x239;355030862000062;PINHEIROS;40581565759658.1
106x240;355030862000062;PINHEIROS;12411333578.56328
105x239;355030862000063;PINHEIROS;90953848171518.95
105x240;355030862000063;PINHEIROS;7101404475616.521
106x238;355030862000063;PINHEIROS;42346598801150.52
106x239;355030862000063;PINHEIROS;32456173974725.594
105x238;355030862000064;PINHEIROS;719267859609.2012
105x239;355030862000064;PINHEIROS;56892291634046.914
106x237;355030862000064;PINHEIROS;95722995278.00012
106x238;355030862000064;PINHEIROS;236293625324166.97
107x238;355030862000064;PINHEIROS;102704906609.49098
107x239;355030862000064;PINHEIROS;46760021678348.75
104x237;355030862000065;PINHEIROS;11346998842833.176
105x237;355030862000065;PINHEIROS;93845189442603.95
105x238;355030862000065;PINHEIROS;73202103912357.97
106x237;355030862000065;PINHEIROS;194146282378703.16
106x238;355030862000065;PINHEIROS;6462225790841.901
107x238;355030862000065;PINHEIROS;9848375935338.635
107x239;355030862000065;PINHEIROS;82745482817125.8
108x237;355030862000065;PINHEIROS;117130678374187.22
108x238;355030862000065;PINHEIROS;247246978472677.44
108x239;355030862000065;PINHEIROS;5528070255513.781
109x239;355030862000065;PINHEIROS;13864937377.464565
102x236;355030862000066;PINHEIROS;19457988685076.68
103x236;355030862000066;PINHEIROS;211919454909673.03
103x237;355030862000066;PINHEIROS;731074789146.5546
104x235;355030862000066;PINHEIROS;131339405475932.78
104x236;355030862000066;PINHEIROS;128966649426188.33
104x237;355030862000066;PINHEIROS;60015102205270.55
105x236;355030862000066;PINHEIROS;246764524976939.8
105x237;355030862000066;PINHEIROS;86890736136178.11
106x236;355030862000066;PINHEIROS;3759076978374.8755
102x236;355030862000067;PINHEIROS;46596210867358.75
102x237;355030862000067;PINHEIROS;59068210245639.6
103x236;355030862000067;PINHEIROS;43291528901.24546
103x237;355030862000067;PINHEIROS;107760573986100.5
101x236;355030862000068;PINHEIROS;119630914788301.16
101x237;355030862000068;PINHEIROS;66462346478401.234
102x235;355030862000068;PINHEIROS;51430704658.52912
102x236;355030862000068;PINHEIROS;94929173949527.39
102x237;355030862000068;PINHEIROS;17651345602281.094
98x235;355030862000069;PINHEIROS;11101260955036.668
98x236;355030862000069;PINHEIROS;3939081089682.4043
98x237;355030862000069;PINHEIROS;20652724718895.184
99x235;355030862000069;PINHEIROS;19220868399925.824
99x236;355030862000069;PINHEIROS;142825877475030.3
99x237;355030862000069;PINHEIROS;276556719549563.94
100x236;355030862000069;PINHEIROS;38973312848122.516
100x237;355030862000069;PINHEIROS;59726957485040.6
97x236;355030862000070;PINHEIROS;13082925360690.154
97x237;355030862000070;PINHEIROS;8995225662492.826
98x235;355030862000070;PINHEIROS;93903636545132.08
98x236;355030862000070;PINHEIROS;144564174640732.4
98x237;355030862000070;PINHEIROS;84295939198574.97
99x236;355030862000070;PINHEIROS;26470368582739.8
99x237;355030862000070;PINHEIROS;8068296494440.577
94x236;355030862000071;PINHEIROS;1517004767163.9675
95x235;355030862000071;PINHEIROS;51808708849512.62
95x236;355030862000071;PINHEIROS;150156471389661.16
95x237;355030862000071;PINHEIROS;155224039162517.47
96x235;355030862000071;PINHEIROS;231363739975133.75
