Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;16/07/2018;1800;28;;33;929.8;23;2.05776;0;
83781;17/07/2018;0000;21.5;;61;931.1;23;1.54332;0;
83781;17/07/2018;1200;18;;73;932.7;0;0;0;
83781;17/07/2018;1800;26.4;;36;929.8;14;1.02888;0;
83781;18/07/2018;0000;19.3;;79;931;18;1.02888;0;
83781;18/07/2018;1200;18.9;;69;931.6;23;1.54332;0;
83781;18/07/2018;1800;27.1;;42;928.1;32;3.08664;0;
83781;19/07/2018;0000;20.8;;75;929.2;0;0;0;
83781;19/07/2018;1200;17.5;;78;929.1;0;0;0;
83781;19/07/2018;1800;27.2;;50;927.5;23;1.02888;0;
83781;20/07/2018;0000;21.6;;61;928.8;9;2.05776;0;
83781;20/07/2018;1200;18.1;;82;929.5;9;1.02888;0;
83781;20/07/2018;1800;28.1;;34;926;5;2.5722;0;
83781;21/07/2018;0000;23;;54;927;36;1.54332;0;
83781;21/07/2018;1200;22;;58;929.8;36;2.5722;8.75;
83781;21/07/2018;1800;22;;65;928;18;5.65884;8.75;
83781;22/07/2018;0000;16.3;;85;930.5;14;4.62996;10;
83781;22/07/2018;1200;16.5;;82;932.7;27;3.08664;10;
83781;22/07/2018;1800;21.5;;63;929.9;18;3.08664;8.75;
83781;23/07/2018;0000;17;;86;932.1;14;2.05776;10;
83781;23/07/2018;1200;17.2;;82;933.2;14;1.54332;7.5;
83781;23/07/2018;1800;25.3;;45;929.5;14;1.02888;10;
83781;24/07/2018;0000;20;;62;931;0;0;0;
83781;24/07/2018;1200;16.5;;91;934.2;18;1.54332;10;
83781;24/07/2018;1800;18.8;;72;939.9;14;2.5722;10;
83781;25/07/2018;0000;16.4;;82;934.4;14;3.08664;10;
83781;25/07/2018;1200;16.5;;76;924.3;14;2.5722;10;
83781;25/07/2018;1800;23.5;;54;931.4;14;3.08664;8.75;
83781;26/07/2018;0000;17;;86;932.7;14;2.5722;10;
83781;26/07/2018;1200;17;;81;933;14;2.5722;1.25;
83781;26/07/2018;1800;25.5;;40;930;32;1.54332;8.75;
83781;27/07/2018;0000;18.4;;83;931;14;1.54332;10;
83781;27/07/2018;1200;17.6;;79;931.2;23;1.54332;0;
83781;27/07/2018;1800;26.5;;35;928.3;27;1.54332;6.25;
83781;28/07/2018;0000;21.2;;52;930.2;27;1.54332;0;
83781;28/07/2018;1200;17.8;;73;930.1;14;1.54332;0;
83781;28/07/2018;1800;27.2;;32;926.3;14;1.54332;0;
83781;29/07/2018;0000;20.8;;55;928.3;14;1.54332;0;
83781;29/07/2018;1200;17.2;;72;927;0;0;8.75;
83781;29/07/2018;1800;28.9;;28;923.2;36;4.11552;10;
83781;30/07/2018;0000;25.2;;35;925.1;32;1.54332;5;
83781;30/07/2018;1200;18;;77;925.9;14;1.02888;10;
83781;30/07/2018;1800;22;;58;924.6;14;2.5722;10;
83781;31/07/2018;0000;17;;84;924.8;14;3.08664;10;
83781;31/07/2018;1200;14.9;;93;926.7;36;2.5722;10;
83781;31/07/2018;1800;17.9;;72;926.5;18;3.08664;10;
83781;01/08/2018;0000;14.3;;85;928.3;18;1.54332;10;
